province,tmp,tmx,tmn,pre,srad,ws,vpd,vap,dtr,pet,cld
Abra,1.0763986556640397,3.4085010363281008,-1.208628480273461,6.763376880859369,-3.6747599021680344,-4.219148443746408,0.20928021849168504,23.120705481496287,4.617129626601564,0.5090687835069647,46.97229351035157
Agusan del Norte,-0.12710202089846234,3.1629132781249787,-3.3654539716797096,204.20438927246093,-29.47118150407539,-1.1611735889016739,0.30652477124201405,25.40305865781265,6.528367849804687,0.27443827612798044,62.8207118388672
Agusan del Sur,-0.6972294142578335,-1.0341227650390863,-0.31199605996096125,59.72125268847657,-30.3923786383653,-0.5678504443180938,0.4165535299608928,26.94965461495413,-0.7221266050781256,-3.1143729713017216,63.16062954257812
Aklan,1.2486450091796648,2.9449635685546625,-0.39766429492189914,109.52210812255862,-33.63483184399294,-3.9293938171231075,0.049498396800302324,27.481668348565623,3.3426275334765627,0.37153383584454014,59.48341789746094
Albay,0.1642346191406041,2.0877303025390432,-1.7084210607422108,18.855475912597655,-34.53869337473549,-3.941525617515283,0.045654002693864326,27.03380933418762,3.796151753281251,0.06452997705698493,60.40917742539062
Antique,0.2744515640624776,3.076592666992166,-2.4726829353515853,170.2226607077637,-37.72912248068778,-3.8728508270697914,-0.020844541253086435,27.164331035936144,5.549275132343751,2.1039403001279844,60.02917801503906
Apayao,2.356979399999979,4.667907164257791,0.09730528749997802,25.70425179345702,-11.603043297483708,-4.475657611291456,0.14734950809646158,24.261671481213423,4.5706020967578125,0.5219551934934263,49.207696943554694
Basilan,1.269022276562474,4.4125135978515395,-1.8265561964843968,-25.26766959326173,-38.565122445529056,-2.229683304395839,0.15214021259207577,26.663558308135606,6.239070294335937,0.21262594805057855,58.96414833886719
Bataan,0.8410019271484117,3.0608228539062274,-1.3279821478515856,50.45076994580077,-22.031705146558778,-3.5359549353215654,0.3310582397586326,25.518631527132634,4.388805411757812,0.4076241024781355,50.334547328320305
Batanes,0.6002179253906057,3.4544715953124765,-2.204029041015648,56.82792648681641,-23.889972258068724,-3.1053381245022766,-0.020681786120575696,24.50284720309306,5.658500476328125,2.2934217476069305,48.42085968417968
Batangas,0.721017075585916,2.813921838671856,-1.3202086804687738,-32.68139854248048,-31.620316898121985,-3.4842418387033978,0.14301430153336392,26.917291468890188,4.134130549140625,0.15053585335456177,57.11158264160156
Benguet,0.7822618628906,3.2110410896484147,-1.599007908593773,-7.534630789062533,-14.153715104901096,-3.2951897954471825,0.11359667027005543,19.86067990972359,4.810049118242188,0.16912862009680252,56.51133950097656
Biliran,1.689603131249978,3.9396332787109145,-0.5204272162109582,-7.879597661132806,-36.17447049860411,-4.056833162508515,-0.1392379630019649,27.719717802334745,4.4600607749218755,0.08331127568846641,60.67986741347657
Bohol,0.9235619316406023,2.873388571484348,-0.9756930494140867,4.711380555908221,-42.72935843234643,-3.0977099860297357,0.26111393304847563,27.213010901622198,3.849081690898437,-0.6076915572452655,62.650918817382816
Bukidnon,0.17173596972654082,0.44264875566403816,-0.046251160937522684,19.766117677246086,-30.746916400566846,-1.0414067317374474,0.42416250069520034,22.59663127654447,0.4889008166015625,-2.825997675495413,65.9269793390625
Bulacan,1.462253588085911,3.617487142382789,-0.6479852697265862,-33.343931761230465,-18.3209380953694,-3.999923806025389,0.2526646825653256,26.57950939919578,4.265472542109376,0.5109125251988988,52.54047356269532
Camarines Norte,-0.2501614431640853,1.3407145814452903,-1.7977102712890876,50.05309399560548,-29.032955278780463,-4.0588473749621885,0.018600402183237885,27.551550728845616,3.138424922734375,0.01383709338357697,59.07041918046876
Camarines Sur,0.2769332833984137,2.0629583935546627,-1.4595137302734607,19.650610066406244,-30.939790315638618,-3.947712861271338,0.02495614899998877,27.47950013740031,3.5224720838281254,0.12906437021299233,59.41746911113281
Camiguin,0.27497697675779165,1.271147831054666,-0.6636907257812723,15.728438916015648,-29.914989705403826,-1.7502911193211914,0.3367820940755848,25.65351113695258,1.9348385568359383,-1.9395292552548087,62.84494814882813
Capiz,0.24081695996091668,2.211824810546851,-1.679633338867209,77.87409229492187,-32.93849244846783,-4.081473612018103,0.058511740082910046,27.16354898005528,3.8914574094140617,0.30518442455884864,60.648523268359384
Catanduanes,0.9397527972656015,3.074852624804663,-1.1461681232422087,25.119687584472672,-30.584400382093747,-3.466284794489548,0.03395801464164039,26.64880396405814,4.221021028046875,0.1637551212556443,59.140239247460926
Cavite,-0.14301378613283688,1.9923314624999762,-2.233349279492213,-1.1122753969726773,-29.36092496454191,-3.6371555551619816,0.17911233248001568,25.80444042647695,4.225680671992189,0.2465129197772895,53.74224298105469
Cebu,0.6791730732421613,2.8604034523437285,-1.4515030058593972,8.567864266357418,-46.60899743679701,-3.60237752631527,0.2172559417329727,26.425500718699254,4.311906748203125,-0.11655965726762307,61.58619955078125
Davao Occidental,1.7855798339843538,2.7894659722655994,0.8291970474609123,-14.281532774414075,-35.36684525604727,-0.45339022424041175,0.3831701637429563,23.593868289603332,1.9602692248046871,-2.053804754453844,62.05702981894532
Davao Oriental,0.9072738595702887,1.2745913345702888,0.5862061845702868,30.685253046142577,-34.89979716556218,-0.916232265145571,0.25454338550982286,25.65696146568149,0.6883856500000007,-2.4480064217773525,63.099399232421874
Davao de Oro,-0.9624427373047126,-0.7329351507812696,-1.139438216796897,33.69763423193359,-35.51482016601602,-1.0645077528826452,0.263074535811619,24.287212439327476,0.40650356601562443,-2.882377454127327,64.11081256640625
Davao del Norte,-1.5777986021484587,-1.7592108660156498,-1.344721990039087,20.97381039575197,-34.644067233946885,-0.47896781717859227,0.34039893983401026,26.442892220572148,-0.41448917597656276,-3.18221063475774,64.55215091796875
Davao del Sur,-1.833888790039083,-1.677899010156274,-1.9398778699218973,25.890116989501962,-35.39898073367374,-0.15636338675065442,0.36526869983886806,24.338869079528067,0.26197895976562613,-3.131955159594914,64.23670871425782
