province,tmp,tmx,tmn,pre,srad,ws,vpd,vap,dtr,pet,cld
Abra,0.795258518945289,3.110728819531225,-1.4731304333984596,14.14113109228515,-4.615384902168017,-3.981943224477609,0.20223649157660084,23.077120210034426,4.583859362929688,0.4603099261068362,47.34854351035157
Agusan del Norte,-0.13984921328127342,3.1548261199218537,-3.382855094726583,208.1641053063965,-30.387583176438653,-1.3709193536340347,0.2956966404886296,25.411501150887247,6.537681814648437,0.2700411972807286,63.18727250781251
Agusan del Sur,-0.6624790480468974,-0.9700694203125266,-0.30654867226564875,64.9436968413086,-31.028483985045,-0.707435128690042,0.41613223461290433,26.957581031772044,-0.6635206480468749,-3.1076428078213394,63.41507168125
Aklan,1.0122344867187287,2.7124592960937264,-0.6379902226562741,94.61415829345705,-35.288777766844504,-4.244358636077575,0.03022018282192307,27.45246431681526,3.3504491887500003,0.33669057430714,60.14499626660157
Albay,-0.01680480957033481,1.9023756882812286,-1.8851544591797094,15.059490499999981,-35.59082655344642,-3.9044720324627926,0.03992053858721023,27.00156453112568,3.7875305374609387,0.03244307985296935,60.83003069687499
Antique,0.043448756445290115,2.8525295566406044,-2.710622388476583,162.86423861914065,-39.50130418234792,-4.197244051785978,-0.04169930541130962,27.13547796506407,5.563151475117188,2.1058913044745626,60.73805069570312
Apayao,2.0719574273437296,4.367205259960915,-0.17202759824220948,33.274179771972655,-12.670110253050126,-4.223783641259717,0.1392169873811241,24.220116604883625,4.539233078203125,0.4724503616817217,49.63452372578125
Basilan,1.1736151720702885,4.316160448437476,-1.921014204296899,-25.53269950048829,-37.314144357150155,-2.376408148374721,0.1471608979179595,26.6493188999106,6.237175152734374,0.22267703039776388,58.46375710351563
Bataan,1.0017258041015396,3.2184369896484135,-1.164157684960962,35.0990914790039,-19.808299690015815,-2.9183380434606034,0.3957361133980475,25.48660670382494,4.382595084609375,0.44973796558644885,49.44518514570312
Batanes,0.30586367734373,3.172925574804662,-2.5112037236328355,51.6127363623047,-23.64281497047105,-2.9431101124173162,-0.02833312759294626,24.451362504477814,5.6841291384375,2.31413966241612,48.32199676914062
Batangas,0.5815792093749792,2.6572415408202907,-1.4424132703125245,-38.09070030029298,-31.814694034352442,-3.371941776523833,0.15708029100739773,26.87443980952498,4.099654841132812,0.11962832258041489,57.18933349609374
Benguet,0.44052907480466175,2.766396924609353,-1.837838475000023,-35.957370962402365,-12.450629777752653,-3.3877497529514544,0.12225058473194439,19.79970338506345,4.604235519609375,0.06782489916270595,55.83010537011719
Biliran,1.9006382874999765,4.1366242455077895,-0.295363129296895,-22.973359868164067,-35.268128945869734,-3.63930095692685,-0.05584732067996334,27.678147267876014,4.431987654804688,0.09794469455537547,60.31733079238282
Bohol,0.8488549003906023,2.7934691378906003,-1.045193781835959,9.169495942871094,-43.738235995822976,-3.3319005454169432,0.2511198360035123,27.207063379898983,3.8386629897265623,-0.6356142485611778,63.05446984277345
