province,tmp,tmx,tmn,pre,srad,ws,vpd,vap,dtr,pet,cld
Abra,1.533387181054664,3.9583423449218493,-0.8444805310547103,-15.233739208007819,-1.0737268821484918,-5.042665051030954,0.2589254028179436,23.15182220889555,4.802822985976563,0.668506880862668,45.93188030234376
Agusan del Norte,-0.04940426699221234,3.157038644335916,-3.204183830078147,207.3266846520996,-30.251786057298034,-1.7816966601907365,0.2853138674530983,25.439749628107847,6.361223074414062,0.217472858083831,63.132953660156254
Agusan del Sur,-0.5344456007812717,-0.9691355824218988,-0.051427822656272326,61.60460229785156,-30.664308570005943,-0.9027896261227508,0.4047030496684664,26.997184432346508,-0.9177076597656253,-3.167219099474569,63.26940151523437
Aklan,1.462957753320289,3.1551961124999757,-0.17927745410158735,92.0042553393555,-34.633078609129655,-4.707984400924376,0.05778366120018952,27.517204268857824,3.334473236601563,0.3677863669713912,59.882716603515625
Albay,0.3851818847656041,2.2974379441406043,-1.4762494298828344,-4.9570729155273625,-36.261889785868306,-4.483249679481225,0.06217385603806236,27.063104541549208,3.7736877640234385,0.042656070489055065,61.09845598984374
Antique,0.4811013443359151,3.286675674804666,-2.2694785896484575,159.27334506445317,-38.63929246359791,-4.475776556821378,-0.010881659310397085,27.198834526598166,5.556153794453126,2.1302729507556846,60.39324600820312
Apayao,2.724194365820292,5.1065210558593535,0.39312132753904194,1.8329093251953168,-9.34682534094074,-4.903138308923292,0.18779154576268414,24.284322355208907,4.713399948320312,0.6464789521805714,48.3052097609375
Basilan,1.4777564074218503,4.60881486738279,-1.6053769972656475,-34.31996909277345,-36.93592475265797,-2.1260284429456435,0.17163368194609507,26.685618531473093,6.2141923646484365,0.23811047129049578,58.31246926171875
Bataan,1.4723709457031013,3.7064100121093517,-0.7108282171875224,33.210799547851565,-20.44364209724239,-3.4874764273259595,0.4260790597031532,25.549842797962878,4.417238639296874,0.4906502416509131,49.69932210859375
Batanes,0.7192914117187286,3.5839607310546633,-2.0953742558593973,36.056931156005874,-22.015884733654644,-3.060137252081012,-0.010240844831403861,24.516348170152416,5.679334826914062,2.3324438718328855,47.671224674414056
Batangas,0.9767818460937292,3.0527493533202907,-1.0475158093750245,-50.9489049511719,-32.75419140984073,-4.420072241077666,0.17500737692192858,26.93812264316927,4.100265192695312,0.13276055238243112,57.565132446289056
Benguet,1.0892198707031007,3.4884550300781,-1.2625180404297112,-52.76399480273437,-9.249317521893289,-4.367563137961221,0.16129281016354924,19.859069777598542,4.750973190507812,0.22098497284331442,54.54958046777344
