province,tmp,tmx,tmn,pre,srad,ws,vpd,vap,dtr,pet,cld
Abra,0.7261789291015397,3.1059863878905993,-1.6065441296875207,-6.049561046386714,-2.6319986716992787,-4.2044359193323455,0.2112180315362382,23.05565054848483,4.712530627578126,0.5491452794205953,46.55518901816407
Agusan del Norte,-0.27328427187502413,3.059473947070291,-3.554385246093773,213.36087807250976,-30.45812150651679,-1.3010479756890887,0.27153353165357164,25.408643250339,6.613859793164062,0.31799304164185793,63.21548783984375
Agusan del Sur,-0.7725834181640856,-1.1028666615234641,-0.39396932656252304,74.9101259794922,-31.703856299498113,-0.6359846329701324,0.3811126373305661,26.967373077318825,-0.7088972349609381,-3.158671319903196,63.68522060703125
Aklan,0.9571624652343544,2.6990987003906,-0.7347767216797116,100.37622646972659,-33.39905150952029,-4.029025460418396,0.03900080502968528,27.43224732475849,3.4338750920703127,0.40890910145985915,59.38910576367188
Albay,-0.15861694335939802,1.8195845505859154,-2.085981485546899,11.904862509277336,-34.84872755442299,-4.049132266914087,0.031155107585846498,26.980382268468546,3.905566426132814,0.10024454893258206,60.53319109726562
Antique,0.003943751562477615,2.854519302734353,-2.791628247851584,166.11241290502932,-37.62793992453541,-3.9375567711310704,-0.02947805256287339,27.1146538853684,5.646147080585938,2.246512258921397,59.98870499257812
Apayao,1.9881378472656017,4.325377867382791,-0.29784546933595735,19.548293236328107,-10.7117041861556,-4.421015315454053,0.14442623584870218,24.200202913404972,4.6232235567187505,0.5350277350678558,48.85116129902344
Basilan,1.1115973498046614,4.282902391796853,-2.0118009474609586,-19.969619666503917,-38.189881356661886,-2.1980514770414077,0.14680222598875659,26.63715144947635,6.294703839257812,0.2399564018488496,58.81405190332032
Bataan,0.9495224349609117,3.2675580833984164,-1.3176824652343981,28.70928740185545,-18.78257184577754,-3.1747545549962473,0.3978908961890464,25.47397913815928,4.585240958632813,0.5715623919595698,49.034894008007804
Batanes,0.18824893124998,3.0423927378906015,-2.6158820683593973,48.795805209960946,-21.95115542457262,-2.993762664068317,-0.0352101656689201,24.434071609122885,5.65827464625,2.2947720918212715,47.64533295078124
Batangas,0.46590843300779383,2.6524594363281047,-1.6689788220703363,-48.0798863964844,-31.031869327321203,-3.647930069217925,0.15186183860182767,26.855458191592373,4.321438288398437,0.24893254687134547,56.87620361328124
Benguet,0.39154836191403675,2.805123731249978,-1.9745297591797097,-49.20323583056643,-9.716089982830795,-3.636589751196694,0.13019536851320296,19.784235134049897,4.779653610429688,0.18407102029049494,54.73628945214844
Biliran,1.7257328919921626,4.010980324609353,-0.5195086371093964,-24.931953618164073,-34.91208951715879,-3.8201733018975537,-0.07602329056443269,27.663739094396487,4.530489241718751,0.14422470349453187,60.174915020898446
Bohol,0.6876763115234148,2.70469045136716,-1.278775324804709,12.979282167236335,-43.17340140109641,-3.272875067053906,0.24022237514389455,27.18396905354561,3.9834658461718746,-0.5686375461971305,62.82853600488282
