province,year,pre,tmp
Abra,2025,270.53012,24.614269147600467
Abra,2026,253.30168,24.497522699265275
Abra,2027,262.20572,24.585745747884136
Abra,2028,184.08305,24.58485565185549
Abra,2029,232.60382,25.162223888578893
Abra,2030,213.41643,24.284968130929155
Abra,2031,153.57906,24.623541041782946
Abra,2032,201.52522,24.97090010870073
Abra,2033,199.28247,24.890659586588566
Abra,2034,247.02924,24.759181504022532
Agusan del Norte,2025,176.98091,26.541424560546897
Agusan del Norte,2026,231.68542,26.723631286621117
Agusan del Norte,2027,208.14616,26.773123677571636
Agusan del Norte,2028,180.8726,25.758404541015647
Agusan del Norte,2029,192.22656,27.600039164225283
Agusan del Norte,2030,236.73944,26.3739929199219
Agusan del Norte,2031,191.72054,26.290338643391948
Agusan del Norte,2032,155.35155,26.75319620768231
Agusan del Norte,2033,202.92987,26.527255249023458
Agusan del Norte,2034,254.85753,27.16924540201825
Agusan del Sur,2025,187.77168,27.644844563802106
Agusan del Sur,2026,233.30775,27.659906514485698
Agusan del Sur,2027,205.31279,27.7445741441515
Agusan del Sur,2028,196.68788,26.903768581814262
Agusan del Sur,2029,201.84648,28.48157891167537
Agusan del Sur,2030,220.07158,27.19379645453561
Agusan del Sur,2031,177.94537,27.30418226453995
Agusan del Sur,2032,158.02132,27.929045613606792
Agusan del Sur,2033,206.57361,27.63923797607424
Agusan del Sur,2034,247.09187,28.033322482638912
Aklan,2025,164.47508,27.763523779975063
Aklan,2026,187.85423,27.726330905490475
Aklan,2027,206.51985,27.703329552544513
Aklan,2028,144.45465,27.579254828559048
Aklan,2029,202.64381,28.331409284803627
Aklan,2030,172.45888,27.67073211669924
Aklan,2031,175.54323,27.79619115193687
Aklan,2032,177.18286,27.97458123101131
Aklan,2033,172.99327,27.888384331597248
Aklan,2034,238.88701,27.99824210272897
Albay,2025,184.27443,27.403017227738015
Albay,2026,262.2894,27.37391532615381
Albay,2027,267.1606,27.36579002097803
Albay,2028,164.55821,27.211571700484686
Albay,2029,219.88457,28.057689073350716
Albay,2030,229.88542,27.33715125189889
Albay,2031,216.6635,27.418971987123864
Albay,2032,183.7719,27.58934484411171
Albay,2033,201.49059,27.552270225242353
Albay,2034,297.07346,27.768790464048056
Antique,2025,143.32513,27.185734797459045
Antique,2026,160.42085,27.148851013183616
Antique,2027,174.56433,27.114463536879615
Antique,2028,129.86522,27.02997367709293
Antique,2029,179.38818,27.736701845655276
Antique,2030,147.48842,27.121114424163242
Antique,2031,148.37355,27.226153983321865
Antique,2032,154.27144,27.42680331959446
Antique,2033,149.32903,27.32197229721969
Antique,2034,196.05519,27.404146112180246
Apayao,2025,206.2857,24.89909820556643
Apayao,2026,215.5225,24.74031168619794
Apayao,2027,217.7014,24.889390055338566
Apayao,2028,157.75732,24.844615173339864
Apayao,2029,203.87451,25.472974650065126
Apayao,2030,189.97438,24.52039540608726
Apayao,2031,140.88393,24.826646423339866
Apayao,2032,161.44965,25.22180887858075
Apayao,2033,165.2849,25.13187662760419
Apayao,2034,221.65106,25.107564290364607
Aurora,2025,279.6238,24.559762891133648
Aurora,2026,297.54373,24.44252675374351
Aurora,2027,313.63663,24.51827456156415
Aurora,2028,203.60579,24.443210538228374
Aurora,2029,290.71222,25.05754369099937
Aurora,2030,237.14973,24.31655019124351
Aurora,2031,244.42845,24.58858674367271
Aurora,2032,235.98854,24.80003414154055
Aurora,2033,268.0132,24.776067988077823
Aurora,2034,379.1608,24.766060129801456
Basilan,2025,146.26392,27.19290907118058
Basilan,2026,171.8977,27.180229017469642
Basilan,2027,165.48267,27.191017546477166
Basilan,2028,141.72386,26.933040025499153
Basilan,2029,139.28578,27.705607209382254
Basilan,2030,167.7544,27.27832579436128
Basilan,2031,166.4157,27.338950941297767
Basilan,2032,137.31921,27.55602332221139
Basilan,2033,160.80907,27.16241127296733
Basilan,2034,193.63274,27.284232076009136
Bataan,2025,238.58183,26.909579467773458
Bataan,2026,227.5617,26.807117207845078
Bataan,2027,237.6837,26.84315592447919
Bataan,2028,160.29703,26.856003824869816
Bataan,2029,220.18262,27.55857137044273
Bataan,2030,159.11192,26.835615539550805
Bataan,2031,180.04735,27.0997263590495
Bataan,2032,213.2627,27.287263488769554
Bataan,2033,225.82349,27.167819213867208
Bataan,2034,227.35345,27.124783325195335
Batanes,2025,178.03839,26.593960571289085
Batanes,2026,162.13322,26.223099263509138
Batanes,2027,183.5263,26.561445617675805
Batanes,2028,159.04817,26.45513407389325
Batanes,2029,219.98431,27.152624511718773
Batanes,2030,169.6818,25.904153951009135
Batanes,2031,128.36171,26.407934570312523
Batanes,2032,163.57121,26.77137908935549
Batanes,2033,137.31706,26.709811909993515
Batanes,2034,201.47528,26.829128011067734
Batangas,2025,215.80469,26.912363364479784
Batangas,2026,228.90358,26.831864004424148
Batangas,2027,236.1967,26.863284394235347
Batangas,2028,157.7539,26.82036812522197
Batangas,2029,235.14534,27.646384406812285
Batangas,2030,190.97595,26.87432366573452
Batangas,2031,186.28368,27.055755985144433
Batangas,2032,195.97688,27.277589878891476
Batangas,2033,215.58752,27.177778671727058
Batangas,2034,272.6035,27.21385738488402
Benguet,2025,354.66068,22.730837122599308
Benguet,2026,302.90314,22.640664672851585
Benguet,2027,309.99377,22.712502415974956
Benguet,2028,209.99724,22.68569081624351
Benguet,2029,293.39743,23.269682820638042
Benguet,2030,238.32262,22.46187616984052
Benguet,2031,217.78784,22.84655405680341
Benguet,2032,272.2332,23.043407694498722
Benguet,2033,269.14822,22.99170583089195
Benguet,2034,315.25284,22.863849258422874
Biliran,2025,189.85236,26.935833231608097
Biliran,2026,282.6454,26.994465128580753
Biliran,2027,296.52737,26.93797793918188
Biliran,2028,185.54364,26.691079711914085
Biliran,2029,223.79451,27.522932942708355
Biliran,2030,305.21414,26.886476982964435
Biliran,2031,242.03975,26.920975409613735
Biliran,2032,204.80827,27.064143541124157
Biliran,2033,214.00746,27.059464179144985
Biliran,2034,340.05713,27.192127482096378
Bohol,2025,142.83739,27.594149780273458
Bohol,2026,190.63892,27.7932812160916
Bohol,2027,192.67401,27.762805006239173
Bohol,2028,138.99483,27.097295294867646
Bohol,2029,164.33022,28.45689188639325
Bohol,2030,201.86577,27.719874233669728
Bohol,2031,159.9087,27.61607445610896
Bohol,2032,135.44571,27.80045572916669
Bohol,2033,157.19615,27.596044582790825
Bohol,2034,235.15599,28.088033040364607
Bukidnon,2025,177.13884,24.651393054780527
Bukidnon,2026,222.92525,24.635031454903764
Bukidnon,2027,205.60994,24.758030918666318
Bukidnon,2028,192.1032,24.134406571161204
Bukidnon,2029,210.4058,25.474921707879954
Bukidnon,2030,196.23796,24.351455942789737
Bukidnon,2031,160.82433,24.55969390869143
Bukidnon,2032,167.2066,25.10128609793529
Bukidnon,2033,203.18213,24.68061963035949
Bukidnon,2034,230.22801,25.011479768298944
Bulacan,2025,243.27742,27.412350379096157
Bulacan,2026,237.9037,27.294783952501106
Bulacan,2027,248.3654,27.346119605170376
Bulacan,2028,160.45625,27.35562116834855
Bulacan,2029,225.74896,28.0041934543186
Bulacan,2030,171.54509,27.284240553114174
Bulacan,2031,183.6999,27.585886891682964
Bulacan,2032,207.9278,27.759954494900196
Bulacan,2033,227.81157,27.661433580186653
Bulacan,2034,259.94812,27.589009857177757
Cagayan,2025,194.24629,26.38923587141368
Cagayan,2026,209.48204,26.184956903567283
Cagayan,2027,205.69574,26.376446813824558
Cagayan,2028,156.91454,26.282440132930386
Cagayan,2029,210.96007,26.99585964159036
Cagayan,2030,183.10645,25.92536798236016
Cagayan,2031,151.17548,26.263754079533744
Cagayan,2032,156.27422,26.66119984593887
Cagayan,2033,164.7781,26.56584556842675
Cagayan,2034,233.22919,26.628216657967428
Camarines Norte,2025,248.43642,27.4079045613607
Camarines Norte,2026,335.68515,27.315383983793737
Camarines Norte,2027,350.08194,27.384405299595446
Camarines Norte,2028,194.15813,27.32798120407833
Camarines Norte,2029,322.90128,28.054929170154413
Camarines Norte,2030,281.29218,27.321292041596934
Camarines Norte,2031,261.64673,27.492778305780345
Camarines Norte,2032,206.29413,27.709824407668364
Camarines Norte,2033,268.49622,27.652932739257835
Camarines Norte,2034,391.384,27.7707956223261
Camarines Sur,2025,201.91113,27.15146325803273
